,Unnamed: 0,Unnamed: 0.1,concept,type,index,hr_index,mc_index,score,single_index,single_score,first_index,first_score
81,81,81,Non-inertial reference frame,3,3.2.1|21.5|21.5.2,3.2.1|21.5.2,21.5.2,0.4539519981033954,21.5.2,0.4539519981033954,21.5.2,0.4539519981033954
32,32,32,Transverse wave,1,6|6.2,6.2,6.2,0.4583480218039476,6.2,0.4583480218039476,6.2,0.4583480218039476
78,78,78,Electron,2,27.3|27.3.1|27.3.2|31.2.1,27.3|31.2.1,27.3|31.2.1,0.5121298189465725,27.3,0.4602092699686455,27.3,0.4602092699686455
93,93,93,Electromagnetic spectrum,1,30.4,30.4,30.4,0.4640869262073512,30.4,0.4640869262073512,30.4,0.4640869262073512
33,33,33,Electroscope,1,9.6.1,9.6.1,9.6.1,0.4651671853933705,9.6.1,0.4651671853933705,9.6.1,0.4651671853933705
133,133,133,Frame of reference,1,3.2.1|21.5|21.5.2,3.2.1|21.5,21.5,0.4692712243065632,21.5,0.4692712243065632,21.5,0.4692712243065632
9,9,9,Emission spectrum,1,31.4.1,31.4.1,31.4.1,0.482354022872985,31.4.1,0.482354022872985,31.4.1,0.482354022872985
145,145,145,Free body diagram,1,12.2.5,12.2.5,12.2.5,0.4880078707054221,12.2.5,0.4880078707054221,12.2.5,0.4880078707054221
10,10,10,Potential energy,1,4.3,4.3,4.3,0.4903736257517808,4.3,0.4903736257517808,4.3,0.4903736257517808
99,99,99,Refractive index,1,7.4.1,7.4.1,7.4.1,0.4943516743776213,7.4.1,0.4943516743776213,7.4.1,0.4943516743776213
61,61,61,Normal force,3,12.2|12.2.1,12.2,12.2,0.4985317974900873,12.2,0.4985317974900873,12.2,0.4985317974900873
47,47,47,Refracting telescope,1,13.5.1,13.5.1,13.5.1,0.4992624096376293,13.5.1,0.4992624096376293,13.5.1,0.4992624096376293
17,17,17,Newton's laws of motion,1,12.3,12.3,12.3,0.5059375516490395,12.3,0.5059375516490395,12.3,0.5059375516490395
15,15,15,Velocity,2,3.4|3.4.1|3.6.2|5.4|14.4|21.5.4,3.4|3.6.2|5.4|14.4|21.5.4,3.4|3.6.2|21.5.4,0.29851485423235546,3.4|3.6.2,0.5079622556965256,3.4|3.6.2,0.5079622556965256
136,136,136,Compass,2,8.4|11.4.2,8.4|11.4.2,8.4|11.4.2,0.5118230248458023,8.4,0.5101071421741621,8.4,0.5101071421741621
151,151,151,Total internal reflection,1,7.6.1,7.6.1,7.6.1,0.5241653786385257,7.6.1,0.5241653786385257,7.6.1,0.5241653786385257
44,44,44,Doppler effect,1,24,24,24,0.5327233763145124,24,0.5327233763145124,24,0.5327233763145124
12,12,12,Inertial frame of reference,3,3.2.1|21.5|21.5.2,3.2.1|21.5.2,21.5.2,0.5417957285231702,21.5.2,0.5417957285231702,21.5.2,0.5417957285231702
82,82,82,Plane mirror,1,7.5.2,7.5.2,7.5.2,0.5510807527481596,7.5.2,0.5510807527481596,7.5.2,0.5510807527481596
48,48,48,Telescope,1,13.5,13.5,13.5,0.5617031665898614,13.5,0.5617031665898614,13.5,0.5617031665898614
21,21,21,Electric potential,1,17.4.1,17.4.1,17.4.1,0.5645593779773403,17.4.1,0.5645593779773403,17.4.1,0.5645593779773403
43,43,43,Coulomb's law,2,17.2,17.2,17.2,0.5691900280058331,17.2,0.5691900280058331,17.2,0.5691900280058331
87,87,87,Electromagnetic radiation,1,30,30,30,0.5725288025362366,30,0.5725288025362366,30,0.5725288025362366
84,84,84,Collision,2,21.4|21.4.1|21.4.2,21.4,21.4,0.5752009708090621,21.4,0.5752009708090621,21.4,0.5752009708090621
95,95,95,Electric charge,2,9.2|9.3|9.4|9.5|10.3.1|17.2|17.3|17.3.2|17.3.3,9.2|9.3|9.4|9.5|10.3.1|17.2|17.3,9.2|9.3|9.4|10.3.1|17.2,0.3535145193707704,9.2|9.3|9.4,0.5792078602562774,9.2|9.3|9.4,0.5792078602562774
5,5,5,Refraction,1,7.4,7.4,7.4,0.5838516033800529,7.4,0.5838516033800529,7.4,0.5838516033800529
23,23,23,Mass,2,4.1.1|12.4,4.1.1|12.4,4.1.1|12.4,0.6064875068981196,12.4,0.5975535957911468,4.1.1,0.4460962080823887
124,124,124,Field line,2,17.3.1,17.3.1,17.3.1,0.5978777991625465,17.3.1,0.5978777991625465,17.3.1,0.5978777991625465
45,45,45,Standing wave,1,6.4.3,6.4.3,6.4.3,0.6000951686373576,6.4.3,0.6000951686373576,6.4.3,0.6000951686373576
135,135,135,Pitch (music),1,15.2.1,15.2.1,15.2.1,0.6086995115634384,15.2.1,0.6086995115634384,15.2.1,0.6086995115634384
65,65,65,Contact force,3,12.2|12.2.1,12.2.1,12.2.1,0.6118378175984952,12.2.1,0.6118378175984952,12.2.1,0.6118378175984952
96,96,96,Mirror image,3,7.3|7.5|7.5.2,7.3|7.5,7.5,0.6278555135380448,7.5,0.6278555135380448,7.5,0.6278555135380448
73,73,73,Magnetic field,1,8.2,8.2,8.2,0.6287597786823658,8.2,0.6287597786823658,8.2,0.6287597786823658
